x,y,z,neuron_id,column,celltype
-61.985,204.678,-527.141,51556,11,9
-37.783,131.172,-571.319,51559,11,9
-77.587,127.454,-610.705,51579,11,9
-225.089,236.241,-521.689,51690,12,9
-263.109,210.803,-607.904,51695,12,9
-202.48,284.735,-644.156,51695,12,9
-102.69,171.014,-428.274,51695,12,9
-160.948,263.785,-474.308,51701,12,9
-111.146,207.119,-470.158,51701,12,9
-81.162,162.597,-575.62,51711,9,9
-111.087,215.532,-469.956,51711,9,9
-7.41,192.514,-633.955,51716,13,9
-76.315,122.6,-379.995,51716,13,9
-125.046,226.624,-544.572,51717,9,9
-79.483,347.627,-586.559,51718,9,9
-110.774,217.39,-380.326,51721,9,9
-73.907,273.667,-416.052,51721,9,9
-159.511,272.036,-532.444,51726,9,9
-49.232,202.432,-607.942,51750,13,9
-236.632,310.898,-516.623,51761,10,9
-12.926,127.322,-542.281,51767,10,9
-254.954,339.792,-474.124,51773,10,9
-99.415,68.896,-589.485,51800,10,9
-63.069,204.423,-526.15,51818,11,9
-216.319,237.095,-510.229,51818,11,9
-97.901,294.967,-561.626,51820,11,9
26.85,241.743,-599.242,51847,11,9
-232.75,338.355,-637.471,52035,9,9
-228.851,312.717,-639.338,52035,9,9
44.434,250.105,-603.222,52072,10,9
-225.464,301.936,-521.105,52083,10,9
2.682,317.995,-618.172,52092,10,9
-42.558,134.318,-571.533,52144,11,9
-143.386,200.422,-519.41,52147,11,9
-53.652,140.134,-573.977,52171,11,9
-339.764,276.51,-591.44,52280,8,9
-264.156,249.271,-529.608,52280,8,9
-210.288,212.579,-602.221,52292,12,9
-79.245,338.145,-583.217,52297,9,9
14.02,341.023,-623.619,52299,9,9
-44.773,231.325,-582.135,52300,9,9
-122.626,230.07,-434.383,52300,9,9
-228.491,305.881,-518.166,52305,9,9
-120.394,226.334,-474.543,52316,9,9
-62.547,273.948,-413.409,52316,9,9
-273.633,242.981,-488.211,52318,9,9
-161.213,263.951,-512.898,52318,9,9
-137.176,210.597,-520.116,52322,9,9
-119.98,242.389,-451.603,52322,9,9
-148.258,219.714,-447.619,52322,9,9
23.46,352.346,-627.472,52325,9,9
-196.623,339.312,-465.771,52326,9,9
-82.861,204.512,-341.046,52340,10,9
-17.486,135.063,-538.592,52359,10,9
-43.265,120.063,-588.046,52365,10,9
-27.279,244.662,-674.698,52385,10,9
-86.04,205.209,-364.877,52392,10,9
-255.578,329.864,-507.493,52464,11,9
-115.035,222.836,-507.835,52470,11,9
-73.155,250.921,-568.182,52575,9,9
-256.695,335.202,-452.339,52582,9,9
-113.157,264.1,-573.604,52582,9,9
-82.347,205.49,-388.706,52584,9,9
-82.268,238.398,-577.232,52591,9,9
-196.64,276.929,-640.647,52593,9,9
-77.938,319.851,-546.882,52593,9,9
-160.573,265.781,-512.887,52593,9,9
-115.301,278.997,-124.972,52597,9,9
-151.918,345.131,-350.141,52604,9,9
-193.697,276.012,-638.612,52608,9,9
-86.312,321.269,-475.697,52610,9,9
1.965,317.27,-618.618,52612,9,9
-227.913,252.817,-547.691,52712,11,9
-122.011,244.377,-509.179,52718,11,9
-241.295,237.143,-500.993,52777,11,9
-195.441,335.284,-469.59,52859,8,9
-75.599,230.106,-434.009,52859,8,9
-84.778,342.537,-442.629,52862,8,9
-171.692,244.029,-459.846,52874,9,9
-153.769,233.691,-560.125,52875,9,9
-99.871,160.614,-626.274,52875,9,9
-100.798,204.544,-324.424,52879,9,9
-124.007,254.726,-614.22,52880,9,9
-115.184,262.898,-312.237,52883,9,9
-98.265,296.959,-455.243,52883,9,9
-144.302,243.485,-472.402,52888,9,9
-99.132,236.201,-574.681,52891,9,9
-158.244,299.61,-691.359,52900,9,9
-139.511,356.853,-462.693,52900,9,9
-136.332,306.123,-508.719,52903,9,9
-68.537,257.979,-589.168,52903,9,9
-85.127,329.486,-583.44,52904,9,9
-15.075,115.192,-570.152,52909,10,9
-14.077,195.862,-590.575,52914,9,9
-150.691,230.216,-602.114,52923,10,9
-38.08,110.39,-516.494,52952,10,9
-9.714,225.219,-587.985,53016,11,9
-168.122,261.485,-611.079,53136,8,9
-116.121,256.169,-575.436,53138,8,9
-65.804,271.489,-416.399,53138,8,9
-132.668,304.988,-421.406,53144,8,9
-219.73,306.845,-634.122,53150,9,9
-87.631,313.342,-582.271,53154,9,9
-160.037,258.412,-505.232,53154,9,9
-102.07,295.062,-575.03,53162,9,9
-132.08,304.179,-421.991,53162,9,9
-180.689,244.715,-552.414,53165,9,9
-94.536,328.41,-450.525,53169,9,9
-67.998,151.377,-573.126,53171,9,9
-62.557,250.713,-614.102,53174,9,9
-110.295,216.579,-359.24,53174,9,9
-99.643,262.452,-430.379,53174,9,9
-148.137,248.961,-471.138,53180,9,9
-105.384,208.879,-377.051,53181,9,9
-161.4,456.136,498.824,53188,6,9
-77.412,136.794,-604.358,53283,11,9
-96.999,203.945,-512.608,53296,11,9
-53.15,262.448,-557.369,53296,11,9
-77.582,139.437,-600.117,53314,11,9
-121.052,207.657,-514.026,53321,11,9
-8.245,223.976,-588.513,53321,11,9
-76.096,361.201,-589.059,53458,9,9
-99.871,160.614,-626.274,53745,6,9
-176.554,292.525,-646.63,53774,7,9
-97.985,155.79,-640.428,53978,6,9
-314.385,284.989,-577.413,54009,7,9
-230.957,325.811,-636.847,54245,7,9
-110.265,278.896,-572.851,59437,18,9
-108.063,224.117,-408.58,59994,18,8
-68.018,105.885,-627.804,60354,16,9
-139.234,128.426,-652.64,61165,19,8
-71.598,81.744,-632.994,61474,16,9
-105.25,293.368,-573.709,61612,18,9
-174.77,244.395,-462.012,61612,18,9
-237.955,193.986,-613.667,61946,23,9
-158.824,266.87,-516.247,62161,18,9
-196.758,234.978,-497.294,62170,18,9
-145.952,281.166,-600.281,62176,18,9
-129.104,259.145,-647.734,62716,18,9
-290.895,201.996,-612.693,63057,23,9
-168.02,202.481,-357.861,63291,18,9
-151.581,249.887,-470.594,63306,18,9
-76.408,123.269,-613.275,63691,16,9
-126.462,255.258,-590.397,63830,18,9
-191.861,262.126,-540.753,63837,18,9
-155.733,248.844,-456.965,63839,18,9
-150.481,218.411,-434.229,63848,18,9
-71.598,81.744,-632.994,63933,19,8
-214.21,180.605,-624.303,64101,23,9
-166.415,203.39,-376.45,64339,18,9
-67.936,101.335,-630.551,64733,13,9
-15.752,193.059,-627.207,64764,13,9
-138.661,299.446,-507.909,64768,13,9
-53.673,155.782,-497.428,65218,13,9
-67.314,102.093,-630.388,65261,13,9
-7.491,192.609,-406.057,65261,13,9
-162.608,199.046,-442.208,65706,12,9
-210.839,115.794,-535.192,65713,12,9
-187.27,329.814,-581.376,65713,12,9
-117.885,19.142,-685.465,65731,13,9
-126.866,133.16,-588.589,65732,13,9
-85.327,177.767,-500.394,65755,13,9
-99.276,144.066,-670.736,65757,13,9
-220.415,305.898,-656.551,65765,13,9
-193.029,272.73,-640.379,65765,13,9
-151.608,287.591,-688.67,65785,13,9
-168.146,262.445,-612.302,65785,13,9
-42.092,181.258,-555.706,65785,13,9
-93.343,399.408,475.046,65825,14,9
-100.285,304.321,-450.934,65846,14,9
22.107,236.066,-598.292,65963,15,8
-4.574,194.117,-600.854,66203,12,9
-108.834,186.609,-449.578,66203,12,9
-15.047,198.64,-541.345,66228,13,9
-23.508,307.992,-531.329,66232,13,9
-101.954,79.026,-591.624,66245,13,9
-38.577,199.623,-585.198,66253,13,9
-102.853,80.846,-590.543,66260,13,9
-66.027,156.867,-502.615,66273,13,9
-159.33,317.42,-624.281,66283,13,9
-39.713,254.269,-557.394,66291,13,9
-118.951,48.063,-650.183,66294,13,9
-30.694,254.865,-554.845,66295,13,9
3.53,202.664,-548.047,66366,14,9
-115.915,222.679,-484.834,66650,12,9
-105.195,175.982,-436.853,66666,12,9
-112.397,212.603,-473.694,66666,12,9
-312.501,178.996,-651.432,66672,12,9
-103.977,134.183,-686.692,66703,12,9
-63.345,198.545,-577.216,66717,13,9
-60.001,198.81,-407.216,66717,13,9
-82.861,204.512,-341.046,66717,13,9
-119.847,22.5,-684.432,66721,13,9
-35.496,113.266,-590.338,66723,13,9
-70.402,191.878,-471.732,66729,13,9
20.457,185.644,-579.902,66732,13,9
-77.829,138.009,-601.969,66742,13,9
-140.359,366.845,-461.521,66744,13,9
-76.722,206.149,-520.732,66754,13,9
-101.088,301.101,-450.612,66754,13,9
-226.7,162.686,-657.589,66757,13,9
-26.28,122.899,-571.082,66771,13,9
29.576,244.125,-599.918,66959,15,8
-180.501,260.805,-481.288,67118,12,9
-158.798,300.362,-690.362,67126,12,9
-155.517,205.151,-392.644,67126,12,9
-156.407,253.329,-471.729,67126,12,9
-161.295,264.469,-475.302,67126,12,9
-142.062,130.42,-648.795,67156,12,9
-97.201,117.623,-452.802,67156,12,9
-221.928,177.082,-623.747,67165,12,9
-81.162,162.597,-575.62,67181,13,9
-47.257,266.045,-555.888,67193,13,9
-77.025,133.319,-605.954,67208,13,9
17.735,199.865,-547.613,67219,13,9
0.805,160.821,-528.218,67219,13,9
-55.594,135.491,-506.967,67220,13,9
-84.503,132.478,-485.491,67225,13,9
-147.416,286.8,-684.539,67227,13,9
86.443,354.12,467.378,67279,14,9
-141.607,312.987,-507.767,67285,14,9
41.253,251.066,-602.575,67406,15,8
-85.724,148.598,-494.452,67557,12,9
-173.639,258.747,-478.743,67557,12,9
-313.129,259.745,-535.515,67581,12,9
-294.318,202.885,-612.672,67592,13,9
-15.902,199.206,-540.787,67599,13,9
-169.316,271.349,-625.648,67617,13,9
-231.294,166.847,-647.221,67629,13,9
-71.897,178.098,-526.075,67635,13,9
-251.228,336.449,-490.33,67655,10,9
-40.235,197.444,-324.556,67669,10,9
-136.893,340.204,-466.285,67688,14,9
-77.582,139.437,-600.117,67778,11,9
-60.082,257.118,-559.115,67782,11,9
-131.709,292.856,-465.777,67959,12,9
-220.384,187.75,-605.365,67961,12,9
-78.33,354.925,-585.098,67990,9,9
-161.955,222.802,-522.079,67991,9,9
-35.236,275.545,-554.022,67991,9,9
-109.589,214.1,-489.739,67991,9,9
-94.662,205.521,-434.669,67991,9,9
-97.614,207.653,-514.835,68005,13,9
