neuron_id,soma_x,soma_y,soma_z,celltype,column,intersomatic_distance
173689,121.204,224.054,-809.214,8,10,361.20194407699415
173692,132.938,203.925,-836.528,8,10,389.9412965947567
173703,188.791,226.994,-808.34,7,10,409.6035789077044
173704,185.14,209.142,-804.122,7,10,404.43304515457186
173713,213.165,220.466,-801.166,8,10,424.1801002569545
173715,235.509,206.281,-791.99,8,10,437.3067209213689
173720,222.792,203.751,-836.146,8,10,454.05284113856175
173723,264.899,209.456,-809.009,7,10,471.0222795547998
173728,285.838,211.859,-796.022,7,10,481.4852720052816
173730,254.266,204.369,-838.178,8,10,479.76520696482356
173733,318.973,221.709,-832.121,7,10,528.590699727114
173734,294.842,201.181,-809.972,7,10,496.9129269862075
173738,312.536,190.411,-792.785,7,10,503.8692400424936
173741,375.505,188.097,-789.535,7,10,558.0726258203317
173743,368.232,207.529,-805.785,8,10,558.0069955663639
173746,367.535,217.731,-800.84,7,10,554.8491070291094
173748,373.643,183.444,-830.385,7,10,575.8949320535821
173749,366.178,186.668,-807.116,7,10,557.892812541083
173750,410.69,225.989,-822.977,7,10,603.2920710708869
173752,415.858,227.456,-798.831,8,10,597.203398265616
173754,437.07,191.411,-826.688,7,10,629.4040884566924
173758,443.864,224.032,-826.785,7,10,634.5904873317909
173810,677.809,223.903,-801.018,7,11,842.2869335820187
173856,932.644,211.878,-831.718,7,11,1095.5153174889888
173873,993.986,222.376,-815.198,7,11,1150.7398419542967
174109,-514.498,270.927,-795.274,9,8,465.974610902783
174142,-393.749,264.451,-804.716,9,8,376.5577617564137
174151,-397.653,254.682,-792.532,8,8,370.2131859213013
174152,-318.624,264.727,-791.867,8,8,316.9724813181737
174160,-343.865,265.349,-801.926,8,8,340.64718391174176
174164,-323.852,229.601,-813.08,8,12,334.6233484411989
174176,-251.144,238.124,-821.941,8,9,305.35070717455363
174177,-249.096,258.523,-820.239,8,9,304.4734277026487
174180,-215.506,236.307,-798.875,8,9,270.48907311941457
174181,-231.343,267.951,-803.595,9,9,283.54007176764276
174183,-227.908,231.785,-802.826,8,9,278.4392855076309
174184,-240.276,230.871,-823.654,8,9,302.3732737561308
174188,-219.751,240.558,-791.099,8,9,264.88943360768474
174189,-185.813,270.544,-820.336,8,9,286.2114087069207
174190,-201.539,229.544,-834.42,8,9,300.12031126533236
174195,-171.893,256.687,-795.327,8,9,257.246223937301
174196,-204.963,249.55,-825.661,8,9,293.53168777663507
174197,-175.899,232.54,-810.674,8,9,271.28873286224035
174198,-173.648,232.668,-833.663,8,9,293.5029547517367
174201,-152.639,243.208,-815.765,8,9,273.38718218124274
174205,-154.533,231.803,-804.701,8,9,262.1069599342986
174206,-116.639,232.531,-820.112,9,9,275.90689664993874
174207,-148.486,259.06,-791.533,8,9,250.52857013921587
174208,-107.726,263.547,-808.634,9,9,267.4494342600111
174209,-144.511,274.469,-793.224,8,9,254.3468931105706
174210,-62.057,260.824,-806.134,8,9,271.3435079636143
174216,-74.41,256.677,-822.86,8,9,284.6055551636335
174218,-80.186,259.063,-798.95,8,9,260.50887830935824
174221,-51.128,271.735,-820.441,8,9,289.2904045919948
174223,-8.779,256.879,-795.659,8,9,278.3475159185007
174225,-38.874,267.673,-838.162,8,9,308.8299192338722
174226,-24.314,258.315,-794.792,8,9,271.6282758882072
174227,-53.038,255.583,-788.665,8,9,256.2304903656081
174229,-51.742,239.415,-836.353,8,9,301.1780182964885
174230,-49.843,235.289,-789.962,8,9,256.8190844524604
174231,-27.795,264.989,-805.76,8,9,281.4061018155079
174232,-54.917,267.314,-833.68,8,9,300.4078809052785
174233,-46.971,261.912,-834.116,9,9,302.06810326481013
174234,27.816,247.402,-817.457,8,9,313.38429087623393
174236,26.375,262.702,-803.1,8,9,301.721294492119
174237,9.16,273.897,-812.055,8,9,302.99574918635403
174239,34.493,233.435,-792.346,8,9,294.6085651215864
174240,43.462,249.504,-827.913,8,9,330.35388815026835
